Obstacle: ObstacleLowBarrier(Clone), z:40.454998, x:0
Next: ObstacleDog(Clone), z:58.434998, x:-1.5
Obstacle: ObstacleDog(Clone), z:54.851707, x:-1.5
Next: ObstacleRoadworksBarrier(Clone), z:85.405, x:-1.5
Obstacle: ObstacleRoadworksBarrier(Clone), z:85.405, x:-1.5
Next: ObstacleRoadworksBarrier(Clone), z:85.405, x:0
Obstacle: ObstacleDog(Clone), z:99.63481, x:-1.5
Next: ObstacleBin(Clone), z:123.61749, x:0
Obstacle: ObstacleBin(Clone), z:123.61749, x:0
Next: ObstacleBin(Clone), z:123.61749, x:1.5
