Obstacle: ObstacleLowBarrier(Clone), z:22.474998, x:0
Next: ObstacleRoadworksBarrier(Clone), z:33.7175, x:0
Obstacle: ObstacleRoadworksBarrier(Clone), z:33.7175, x:0
Next: ObstacleRoadworksBarrier(Clone), z:33.7175, x:1.5
Obstacle: ObstacleRoadworksCone(Clone), z:43.164, x:1.5
Next: ObstacleRoadworksBarrier(Clone), z:67.44499, x:1.5
Obstacle: ObstacleRoadworksBarrier(Clone), z:67.44499, x:1.5
Next: ObstacleBin(Clone), z:80.935, x:0
Obstacle: ObstacleBin(Clone), z:80.935, x:0
Next: ObstacleBin(Clone), z:80.935, x:1.5
