Obstacle: ObstacleLowBarrier(Clone), z:22.474998, x:0
Next: ObstacleBin(Clone), z:31.465, x:1.5
Obstacle: ObstacleBin(Clone), z:31.465, x:1.5
Next: ObstacleBin(Clone), z:42.707497, x:-1.5
Obstacle: ObstacleBin(Clone), z:42.707497, x:-1.5
Next: ObstacleBin(Clone), z:52.154, x:-1.5
Obstacle: ObstacleBin(Clone), z:52.154, x:-1.5
Next: ObstacleBin(Clone), z:52.154, x:0
Obstacle: ObstacleRat(Clone), z:71.94499, x:-1.0056076
Next: ObstacleWheelyBin(Clone), z:85.435, x:1.5
