2023-04-28 00:06:13.4675|INFO|Info
2023-04-28 00:06:13.4881|INFO|AltTester logs are saved at: ./AltTester.log
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:28|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:29|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:30|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
28/04/2023 00:06:31|Fatal|WebSocket.connect|An exception has occurred while reading an HTTP request/response.
