Obstacle: ObstacleHighBarrier(Clone), z:44.954998, x:0
Next: ObstacleWheelyBin(Clone), z:60.697495, x:0
Obstacle: ObstacleWheelyBin(Clone), z:60.697495, x:0
Next: ObstacleWheelyBin(Clone), z:60.697495, x:1.5
Obstacle: ObstacleWheelyBin(Clone), z:70.144, x:-1.5
Next: ObstacleWheelyBin(Clone), z:70.144, x:0
Obstacle: ObstacleLowBarrier(Clone), z:85.435, x:0
Next: ObstacleBin(Clone), z:121.39499, x:0
Obstacle: ObstacleBin(Clone), z:121.39499, x:0
Next: ObstacleBin(Clone), z:121.39499, x:1.5
