Obstacle: ObstacleBin(Clone), z:22.474998, x:0
Next: ObstacleBin(Clone), z:33.7175, x:-1.5
Obstacle: ObstacleBin(Clone), z:33.7175, x:-1.5
Next: ObstacleRoadworksBarrier(Clone), z:43.164, x:1.5
Obstacle: ObstacleRoadworksBarrier(Clone), z:43.164, x:1.5
Next: ObstacleRoadworksBarrier(Clone), z:43.164, x:-1.5
Obstacle: ObstacleBin(Clone), z:103.40498, x:-1.5
Next: ObstacleBin(Clone), z:103.40498, x:0
Obstacle: ObstacleWheelyBin(Clone), z:12.308556, x:-1.5
Next: ObstacleWheelyBin(Clone), z:12.308556, x:0
